कंप्यूटरगेम	कंप्यूटर+गेम
भित्तिचित्रों	भित्ति+चित्रों
विक्टोरियाप्रांत	विक्टोरिया+प्रांत
सम्बलपुरजिले	सम्बलपुर+जिले
नेहरूपरिवार	नेहरू+परिवार
रक्तकैंसर	रक्त+कैंसर
मिजोरमराज्य	मिजोरम+राज्य
नमककानून	नमक+कानून
कुर्तापाजामा	कुर्ता+पाजामा
घुड़सवारीविद्यालय	घुड़सवारी+विद्यालय
दुर्गामन्दिर	दुर्गा+मन्दिर
राजस्थानराज्य	राजस्थान+राज्य
पुलिसहिरासत	पुलिस+हिरासत
जनहितयाचिका	जनहित+याचिका
व्यासनदी	व्यास+नदी
तीर्थस्थल	तीर्थ+स्थल
कारइंडस्ट्री	कार+इंडस्ट्री
यात्रावृत्तान्त	यात्रा+वृत्तान्त
स्वर्णपत्र	स्वर्ण+पत्र
जहाँगीरमहल	जहाँगीर+महल
नागरिकसेना	नागरिक+सेना
डाटासिक्युरिटी	डाटा+सिक्युरिटी
शिशुविशेषज्ञ	शिशु+विशेषज्ञ
लहसुनब्रेड	लहसुन+ब्रेड
जीवजंतु	जीव+जंतु
साइकिलयात्राएं	साइकिल+यात्राएं
संगीतआचार्य	संगीत+आचार्य
प्रशांतमहासागर	प्रशांत+महासागर
पश्चिमऑस्ट्रेलिया	पश्चिम+ऑस्ट्रेलिया
अध्ययनकेन्द्र	अध्ययन+केन्द्र
रेलवेपुलिस	रेलवे+पुलिस
कुंभारकॉलोनी	कुंभार+कॉलोनी
नीलगिरिश्रृंखला	नीलगिरि+श्रृंखला
रिक्शाचालक	रिक्शा+चालक
ध्यानकेन्द्र	ध्यान+केन्द्र
मुसलमानयुग	मुसलमान+युग
न्यूयॉर्कविश्वविद्यालय	न्यूयॉर्क+विश्वविद्यालय
नेहरूबाजार	नेहरू+बाजार
वनसंसार	वन+संसार
हास्यफ़िल्म	हास्य+फ़िल्म
हाथीदांत	हाथी+दांत
बॉम्बेहाई_कोर्ट	बॉम्बे+हाई_कोर्ट
अजमेरपर्यटन	अजमेर+पर्यटन
लोकसभाअध्यक्ष	लोकसभा+अध्यक्ष
राममंदिर	राम+मंदिर
वर्तमानयुग	वर्तमान+युग
आपदाप्रबंधन	आपदा+प्रबंधन
हॉकीखिलाड़ी	हॉकी+खिलाड़ी
क्रिकेटमैच	क्रिकेट+मैच
नेहरूपार्क	नेहरू+पार्क
तंदुरुस्तीकेन्द्र	तंदुरुस्ती+केन्द्र
झूमखेती	झूम+खेती
बरोकशैली	बरोक+शैली
ज़िलाप्रशासन	ज़िला+प्रशासन
वनअधिकारियों	वन+अधिकारियों
खरीददारीकेन्द्र	खरीददारी+केन्द्र
आपातबैठक	आपात+बैठक
सिगरेटपैक	सिगरेट+पैक
बुटीकहोटल	बुटीक+होटल
कलाकेंद्र	कला+केंद्र
सर्राफाबाजार	सर्राफा+बाजार
नैननदी	नैन+नदी
आज्ञापत्र	आज्ञा+पत्र
आदिवासीहस्तकला	आदिवासी+हस्तकला
जावाद्वीप	जावा+द्वीप
कच्छसंग्रहालय	कच्छ+संग्रहालय
झींगाफैक्टरी	झींगा+फैक्टरी
केन्द्रसरकार	केन्द्र+सरकार
भारतीयधनेश	भारतीय+धनेश
गुफाचित्रकारी	गुफा+चित्रकारी
कार्यकारीसमिति	कार्यकारी+समिति
सिंगापुरचिड़ियाघर	सिंगापुर+चिड़ियाघर
भगवानदत्तात्रेय	भगवान+दत्तात्रेय
चन्द्रभगवान	चन्द्र+भगवान
टेस्टमैच	टेस्ट+मैच
खाड़ीयुद्ध	खाड़ी+युद्ध
बजटमोटल	बजट+मोटल
कृषिपरिषद	कृषि+परिषद
चीनीउद्योग	चीनी+उद्योग
कलिंगसाम्राज्य	कलिंग+साम्राज्य
सारसअभ्यारण्य	सारस+अभ्यारण्य
अहमदाबादरेलवे_स्टेशन	अहमदाबाद+रेलवे_स्टेशन
जोधपुरजिले	जोधपुर+जिले
लिवरकैंसर	लिवर+कैंसर
